tax	1M	4H	5H	6H	6M	7H	7M	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Thalassolituus	0	0	0	0	0	0	11	11
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 3	5	1	2	0	0	0	3	11
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter	0	0	0	0	0	11	0	11
Bacteria;Bacteria_none;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae_uncultured	0	0	0	0	11	0	0	11
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter	6	0	0	0	0	0	5	11
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia	11	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_uncultured	1	8	0	0	0	0	1	10
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium	3	0	0	4	0	3	0	10
Bacteria;Bacteria_none;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfurimonas	0	0	0	0	7	1	2	10
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Actinobacillus	2	0	0	2	0	6	0	10
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Candidatus Zinderia	8	0	0	0	1	0	1	10
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	3	0	0	0	0	4	3	10
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus	7	0	0	3	0	0	0	10
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Marine Methylotrophic Group 2	1	0	0	0	0	3	6	10
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicibacter	6	1	1	0	0	0	2	10
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pelagimonas	0	0	0	0	0	0	10	10
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;HIMB11	5	1	0	0	0	1	2	9
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia	5	0	0	2	0	0	2	9
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Sinobacterium	5	0	0	0	0	0	4	9
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Salinivibrio	4	1	0	3	0	0	1	9
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thioalkalivibrio	3	0	1	4	0	0	1	9
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter	5	1	0	2	0	0	1	9
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus	0	0	0	0	8	0	1	9
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Limnobacter	2	0	0	0	0	0	7	9
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Frigidibacter	4	0	0	0	0	0	5	9
Bacteria;Bacteria_none;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Tumebacillus	1	0	0	8	0	0	0	9
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium	0	0	0	0	9	0	0	9
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Catellicoccaceae;Catellicoccus	0	0	0	0	9	0	0	9
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Mameliella	1	2	0	0	1	1	3	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gillisia	3	1	0	2	0	2	0	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 9	2	1	0	0	1	0	4	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 16	1	3	1	0	0	0	3	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Cellulophaga	4	0	0	1	0	2	1	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 17	1	0	0	0	6	1	0	8
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Procabacteriaceae;Procabacter	6	0	0	1	0	0	1	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Candidatus Arthromitus	2	2	1	0	0	0	3	8
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gramella	6	0	0	1	0	1	0	8
Bacteria;Bacteria_none;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;[Anaerorhabdus] furcosa group	7	0	0	0	1	0	0	8
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Alkanindiges	2	0	0	0	3	2	1	8
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudodonghicola	8	0	0	0	0	0	0	8
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxellaceae_uncultured	1	0	1	0	0	1	5	8
Eukaryota;Chloroplastida;Phragmoplastophyta;Embryophyta;Malpighiales;Malpighiales_Incertae_sedis;Hevea	3	1	1	0	1	1	1	8
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Pseudobutyrivibrio	0	0	0	0	0	0	8	8
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Succinivibrio	4	0	0	2	0	0	2	8
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sulfuricellaceae;Sulfuricella	2	0	0	5	0	0	0	7
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Kiloniellaceae_uncultured	0	0	0	0	7	0	0	7
Bacteria;Bacteria_none;Desulfobacterota;Desulfuromonadia;Bradymonadales;Bradymonadaceae;Bradymonas	0	0	0	0	0	0	7	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae AC2044 group	0	0	0	0	7	0	0	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 2	2	0	2	0	1	1	1	7
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Cellvibrionaceae;Marinimicrobium	3	0	1	0	0	2	1	7
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Alteromonadaceae_uncultured	0	0	0	1	0	0	6	7
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Silicimonas	4	0	0	0	0	1	2	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiaceae_uncultured	4	0	2	0	0	0	1	7
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Pasteurellaceae_uncultured	1	0	0	0	0	6	0	7
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Paraglaciecola	2	0	0	5	0	0	0	7
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	1	0	0	0	1	3	2	7
Bacteria;Bacteria_none;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Termite planctomycete cluster	0	0	0	0	0	0	7	7
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Litorivivens	5	0	0	0	2	0	0	7
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;OM43 clade	0	0	0	0	0	7	0	7
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Quadrisphaera	0	0	0	0	0	6	0	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Subsaximicrobium	2	1	0	1	1	1	0	6
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pseudooceanicola	1	0	0	0	2	1	2	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Zobellia	1	0	0	1	0	2	2	6
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 15	0	0	1	0	0	1	4	6
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcus	0	0	0	0	0	6	0	6
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubellimicrobium	2	1	0	0	0	0	3	6
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Natranaerovirga	0	0	0	0	0	0	6	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Idiomarinaceae;Aliidiomarina	6	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 10	2	0	0	0	0	0	4	6
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovoracaceae_uncultured	1	0	0	0	0	0	5	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Zhongshania	4	0	0	1	0	1	0	6
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulfofustis	1	2	0	0	0	1	2	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Spongiibacter	1	0	0	0	1	0	4	6
Bacteria;Bacteria_none;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbaceae_uncultured	0	6	0	0	0	0	0	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;endosymbionts	3	0	0	0	0	0	3	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavirhabdus	0	0	0	2	0	3	1	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter	5	0	0	0	0	0	1	6
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Pelagibaca	3	0	0	3	0	0	0	6
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Dermatophilaceae;Dermatophilaceae_uncultured	0	0	0	0	6	0	0	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;Aquicella	2	0	0	2	2	0	0	6
Bacteria;Bacteria_none;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 23	6	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium	0	0	0	1	0	5	0	6
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hathewaya	1	0	1	0	1	2	1	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;[Agitococcus] lubricus group	3	0	0	1	0	0	2	6
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Methylococcales;Cycloclasticaceae;Cycloclasticus	2	0	0	2	0	0	2	6
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobiaceae_uncultured	0	0	0	0	5	0	0	5
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum	0	0	0	0	0	0	5	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Sinomicrobium	1	1	0	1	1	1	0	5
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Haematobacter	0	0	0	0	1	0	4	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Myroides	1	0	0	0	0	2	2	5
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubrimonas	0	1	0	0	1	1	2	5
Bacteria;Bacteria_none;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio	0	0	0	0	0	0	5	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Sodalis	0	0	0	5	0	0	0	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella1	1	0	0	3	0	1	0	5
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tabrizicola	1	0	1	0	1	0	2	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Mesoflavibacter	1	1	0	2	0	0	1	5
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Youngiibacter	1	0	1	0	0	1	2	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Gallionellaceae;Sideroxydans	3	0	0	0	0	0	2	5
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;UCG-012	0	1	0	0	4	0	0	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Candidatus Portiera	3	0	0	0	0	0	2	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;Methylophaga	2	0	0	1	0	0	2	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas	2	0	0	0	0	3	0	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Oceanobacter	3	0	0	0	0	0	2	5
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Enterovibrio	1	0	0	4	0	0	0	5
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Coenonia	0	0	0	1	0	2	2	5
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Allobranchiibius	0	0	0	0	5	0	0	5
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassococcus	1	0	0	0	0	0	3	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus	1	0	0	0	3	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albimonas	1	2	0	0	0	0	1	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tamlana	0	1	0	1	0	1	1	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella	0	0	0	0	0	0	4	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Cognatiyoonia	0	0	0	0	3	0	1	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Joostella	0	0	0	1	0	3	0	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;MND1	0	3	0	0	0	0	1	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Thiobacillus	4	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriales Incertae Sedis;Tomitella	0	2	0	0	2	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis	2	0	0	0	0	0	2	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Saccharospirillaceae;Saccharospirillum	4	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Thiomicrospirales;Thiomicrospiraceae;endosymbionts	1	0	0	1	2	0	0	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter	0	0	0	0	4	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacteriaceae_uncultured	0	2	0	2	0	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Ectothiorhodospiraceae_uncultured	1	1	0	0	2	0	0	4
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	0	0	0	2	0	0	2	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum	0	0	0	0	0	4	0	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Halothiobacillales;Halothiobacillaceae;Thiovirga	2	0	0	0	2	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseicyclus	4	0	0	0	0	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Litorimicrobium	1	0	1	0	0	1	1	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiohalocapsa	1	0	0	2	0	0	1	4
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	3	0	0	1	0	0	0	4
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus	0	0	0	4	0	0	0	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubribacterium	0	2	0	0	0	1	1	4
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Hoppeia	1	0	0	1	1	1	0	4
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Jannaschia	0	2	0	0	2	0	0	4
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	1	0	0	0	0	2	1	4
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sulfuricellaceae;Ferritrophicum	3	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella	3	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Cavicella	2	0	0	0	0	0	1	3
Bacteria;Bacteria_none;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Ercella	0	0	0	0	3	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group	1	0	0	0	0	2	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Alteromonadaceae;Glaciecola	1	0	0	2	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus	2	0	0	1	0	0	0	3
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae;Angustibacter	0	0	0	0	0	0	3	3
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 14	1	1	0	0	0	1	0	3
Bacteria;Bacteria_none;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group	1	1	0	0	0	1	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Dechloromonas	2	0	0	0	0	0	1	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Siansivirga	0	0	0	0	0	2	1	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Thiopseudomonas	2	0	0	0	0	0	1	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Arsenophonus	1	0	0	1	0	1	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae;Zobellella	0	0	0	3	0	0	0	3
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Antricoccus	0	0	0	0	0	2	1	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;oc32	0	3	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Vadicella	1	1	0	0	0	0	1	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	2	1	0	0	0	0	0	3
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarcina	0	0	0	3	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseinatronobacter	0	0	0	1	0	0	2	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Carnimonas	0	0	0	0	0	1	2	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0	0	0	0	3	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gelidibacter	0	0	0	2	0	1	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobaca	1	0	0	0	0	0	2	3
Bacteria;Bacteria_none;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;[Eubacterium] yurii group	0	0	0	0	0	2	1	3
Bacteria;Bacteria_none;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces	0	0	0	3	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Tahibacter	2	0	0	1	0	0	0	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavicella	1	1	0	0	0	1	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Oceanibulbus	2	0	0	0	1	0	0	3
Bacteria;Bacteria_none;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter	0	3	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Robiginitomaculum	0	3	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Endozoicomonadaceae;Kistimonas	0	0	0	0	1	0	2	3
Bacteria;Bacteria_none;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;CL500-29 marine group	0	0	0	0	1	2	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Halocynthiibacter	1	0	0	0	0	0	2	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Actibacterium	2	1	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Dinoroseobacter	2	0	0	0	0	0	1	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Psychroflexus	1	0	0	0	0	1	1	3
Bacteria;Bacteria_none;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum	3	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Piscirickettsiales;Piscirickettsiaceae;Candidatus Endoecteinascidia	0	0	0	0	0	0	3	3
Eukaryota;Chloroplastida;Phragmoplastophyta;Embryophyta;Fabales;Fabales_Incertae_sedis;Arachis	3	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Citreicella	3	0	0	0	0	0	0	3
Bacteria;Bacteria_none;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella	2	0	0	0	0	0	1	3
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Gilvibacter	0	0	0	1	0	2	0	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Pseudofulvimonas	1	0	0	1	0	0	1	3
Bacteria;Bacteria_none;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerobacter	1	0	0	0	1	1	0	3
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sagittula	1	0	0	0	0	1	1	3
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Ferrimonas	2	0	0	1	0	0	0	3
Bacteria;Bacteria_none;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	1	0	0	1	1	0	0	3
Bacteria;Bacteria_none;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Salinicoccus	0	0	0	3	0	0	0	3
